Metric,Rank,Component ID,BC,GNE Loss (%),LSCC Loss (%),TTD Loss (%),Reachable OD Demand after Removal (%),Road Name,Road Class,From Node,To Node,Length (m)
BC,1,759,0.0829633744631405,0.37056461131435997,0.06476683937823,0.47442215332227,100.0,SAI YEE STREET,primary,453,1379,7.724
BC,2,1131,0.0826680005607912,0.41668499627454997,0.06476683937823,0.59669707416903,99.96791682867332,HAK PO STREET,primary,674,452,41.471
BC,3,758,0.0821878274249751,0.36836093624807,0.0,0.47204568314881,100.0,HAK PO STREET,primary,452,453,53.991
BC,4,2666,0.0741737776581848,0.12722294268016002,0.0,0.14700952673822,100.0,YIM PO FONG STREET,primary,1613,674,10.012
BC,5,255,0.0732336945101742,1.15921496852025,0.12953367875647,3.8107420366299904,98.86020881129647,MONG KOK ROAD,primary,155,694,48.114
BC,6,1160,0.0730584975163805,1.1377549430801701,0.06476683937823,3.71645633892093,98.89162596104676,SAI YEUNG CHOI STREET SOUTH,primary,694,156,66.64699999999999
BC,7,2570,0.0718943003311682,0.46891043735094,0.38860103626943,1.05899326162775,99.86766588316134,VICTORY AVENUE,primary,1551,901,66.19
BC,8,1489,0.0705330031336373,0.35665541600623,0.0,0.6479841240775399,100.0,PEACE AVENUE,primary,901,1613,142.021
BC,9,752,0.0650254295307119,0.12730651043396998,0.06476683937823,0.40078532097152,99.98193110590825,TIN KWONG ROAD,primary,449,617,365.341
BC,10,257,0.0617078249703962,0.18611575569231,0.0,0.28236703885844,100.0,TUNG CHOI STREET,primary,156,157,63.449000000000005
GNE,1,1844,0.0108904482095232,3.90229331347546,0.06476683937823,3.35435120894345,98.91095517904768,KIN WAN STREET,residential,1114,1462,81.981
GNE,2,2489,0.0269929597597181,3.7898836643392304,0.1943005181347,6.581309764969539,97.8734731190972,HUNG LUEN ROAD,tertiary,1504,223,81.211
GNE,3,2425,0.0145801795339214,3.72892772695494,0.06476683937823,4.49082002001118,98.54198204660784,KIN WAN STREET,residential,1462,1114,81.981
